pi43,Tamb,22.679252125
pi20,Tamb,23.946121125
pi22,Tamb,23.9129028125
pi32,Tamb,22.7717439375
pi25,Tamb,23.7675531875
pi37,Tamb,22.198192625
pi33,Tamb,22.7287534375
pi30,Tamb,22.7720704375
pi19,Tamb,23.54788225
pi12,Tamb,22.6876858125
pi14,Tamb,22.807771625
pi16,Tamb,22.99920825
pi38,Tamb,22.340611625
pi18,Tamb,23.2464608125
pi13,Tamb,23.1255880625
pi15,Tamb,22.9115541875
pi03,Tamb,23.7569215
pi31,Tamb,22.460647625
pi42,Tamb,22.769172
pi39,Tamb,22.615816875
pi06,Tamb,23.0804390625
pi36,Tamb,22.24216375
pi48,Tamb,22.855119625
pi41,Tamb,22.907188
pi29,Tamb,23.0320365625
pi24,Tamb,23.948976875
pi02,Tamb,24.128698875
pi35,Tamb,22.4579511875
pi45,Tamb,22.083029375
pi27,Tamb,23.677737125
pi47,Tamb,22.3095129375
pi40,Tamb,22.836979125
pi28,Tamb,23.4880885
pi21,Tamb,23.8801205
pi08,Tamb,22.6945618125
pi26,Tamb,23.7054629375
